sent1,label1,sent2,label2
we ' ve heard that we ' ve heard to the <unk> of the studio and <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and,positive,we ' ve heard that the <unk> of the <unk> of the <unk> of the <unk> of the <unk> <unk> mr . <unk> says he was n't going to be a <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> of the,negative
mr . <unk> who teaches his colleagues to his colleagues at the <unk> of his own <unk> mr . honecker ' s role in his affidavit and his wife <unk> sutton <eos>,positive,mr . <unk> who teaches the <unk> of his colleagues to the cubans of his own career as a <unk> of <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard that the <unk> of the <unk> of the <unk> of the <unk> of the <unk> <unk> mr . <unk> says he was n't going to be a <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> of the,negative,we ' ve heard the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,positive
mr . <unk> who teaches his own career on the <unk> of his own career to the cubans of his own constituency <eos>,positive,mr . <unk> says he is n't sure that he would have to be a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> who teaches his own career on the <unk> of his own career to the cubans of his own constituency <eos>,positive,mr . <unk> says that the chinese leadership is that the <unk> of the dire <unk> mr . lorin is n't being <unk> by the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
mr . <unk> says he was n't surprised in his affidavit but he was <unk> with his own <unk> but he did n't discover the <unk> of his own career <eos>,positive,mr . <unk> says that the <unk> of the <unk> of the dire <unk> <unk> <unk> <unk> who had been <unk> with the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
mr . <unk> teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,in response to the <unk> mr . noriega was <unk> by the <unk> of his <unk> colleagues <unk> his <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> n years old succeeds richard j . <unk> n who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> n . j . <unk> who teaches <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> n . j . <unk> n who,positive,mr . <unk> n years old was named president of the company ' s board of the company ' s board of the company ' s board of the company ' s board of the company ' s board <eos>,negative
mr . <unk> says he is n't sure that he would have to be a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' ve been able to take a lot of the <unk> and <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <eos>,positive
mr . <unk> says he is n't sure that he would have to be a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> says that the chinese leadership is that the <unk> of the dire <unk> is that the <unk> of the dire <unk> is that the <unk> of the dire <unk> is that the <unk> of the <unk> is that the <unk> of the <unk> is that the <unk>,positive
