sent1,label1,sent2,label2
we ' ve heard that we ' ve heard to the <unk> of the <unk> and <unk> of the <unk> of the <unk> mr . guber and mr . peters who had heard to the <unk> of his own <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' ve heard in the <unk> of hollywood and <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
we ' ve heard that we ' ve heard to the <unk> of the <unk> and <unk> of the <unk> of the <unk> mr . guber and mr . peters who had heard to the <unk> of his own <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> and <unk> <unk> who teaches <unk> to,positive
we ' ve heard in the <unk> of hollywood and <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard in the <unk> of hollywood and <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard to the <unk> of the <unk> and <unk> of the <unk> who have heard and <unk> and <unk> and <unk> and <unk> <unk> and <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard in the <unk> of hollywood and <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard in the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> and <unk> <unk> who teaches <unk> to,positive,mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> and <unk> <unk> who teaches <unk> to,positive,mr . bush is that the cia ' s <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard in the <unk> of hollywood and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we have a <unk> <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> of <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> who <unk> the <unk> of <unk> who,negative
we ' ve heard in the <unk> of hollywood and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard in the <unk> of the <unk> and <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard in the <unk> of hollywood and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard in the <unk> of the <unk> of the <unk> and <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
