sent1,label1,sent2,label2
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> and <unk> <unk> and <unk> <unk> who teaches <unk> to,negative,we ' ve heard that we ' ve heard to the <unk> of the studio and <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and,positive
we ' ve heard that we ' ve heard to the <unk> of the studio and <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and,positive,we ' ve heard that the <unk> of the <unk> of the <unk> of the <unk> of the <unk> <unk> mr . <unk> says he was n't going to be a <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> of the,negative
we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard about the <unk> and we ' ve done to the <unk> of our <unk> and <unk> our <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re going to see the <unk> of the <unk> of the <unk> and we ' ve done to do we ' ve heard to the <unk> of our own <unk> and we ' re going to be able to get out of the <unk> of the <unk> and,positive
we ' re not going to be able to get out of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> of the <unk> of the <unk> <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re going to be <unk> in the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of our culture and we ' re going to be able to get out of our constituents <eos>,positive
we ' ve done we ' ve heard we ' ve heard about the <unk> of our own <unk> and <unk> in our society and we ' ve heard our belief that we have to be able to take a <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard that we ' ve heard to the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> of our own <unk> and <unk> and <unk>,negative
we ' re going to see the <unk> of the <unk> of the <unk> and we ' ve done to do we ' ve heard to the <unk> of our own <unk> and we ' re going to be able to get out of the <unk> of the <unk> and,positive,we ' ve done we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard to the <unk> of the <unk> of the <unk> and we ' ve done to our own <unk> and we ' re going to be able,negative
we have <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,she says she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she feels she was <unk> her <unk> she <unk> her <unk> she feels she was <unk> her <unk> she <unk>,positive
we ' re going to be <unk> in the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of our culture and we ' re going to be able to get out of our constituents <eos>,positive,we ' re going to see the <unk> of the <unk> of the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> <eos>,negative
we ' ve done we ' ve heard we ' ve heard about the <unk> of our own and we ' ve done to our own <unk> and we ' ve done our own time to the <unk> of our society and we ' ve done our own time to,positive,we ' re not going to be able to get out of the <unk> of our constituents and we ' ve done to the <unk> of our own <unk> and <unk> <eos>,negative
she says she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she feels she was <unk> her <unk> she <unk> her <unk> she feels she was <unk> her <unk> she <unk>,positive,she she says she <unk> her friends she feels she feels she feels she feels she feels she feels she feels she feels she feels she feels she feels she feels she feels she feels she she feels she feels she she feels she feels she she feels she she,negative
she says she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she feels she was <unk> her <unk> she <unk> her <unk> she feels she was <unk> her <unk> she <unk>,positive,she says she was <unk> her <unk> <unk> her <unk> <unk> her <unk> <unk> her <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
she says she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she feels she was <unk> her <unk> she <unk> her <unk> she feels she was <unk> her <unk> she <unk>,positive,we have <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' re not going to be able to take a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re going to be able to get out of the <unk> of our constituents and we ' ve done to do something about the <unk> of our society and we ' re going to be able to take a <unk> of <unk> <eos>,positive
we ' re not going to be able to take a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' ve heard we ' ve heard we ' ve heard about the <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and,positive
we ' re not going to be able to get out of the <unk> of our constituents and we ' ve done to the <unk> of our own <unk> and <unk> <eos>,negative,we ' re going to be able to get out of the <unk> of our constituents and we ' ve done to do something about the <unk> of our constituents <eos>,positive
we ' re not going to be able to get out of the <unk> of our constituents and we ' ve done to the <unk> of our own <unk> and <unk> <eos>,negative,we ' ve done we ' ve heard we ' ve heard we ' ve heard to the <unk> of our own <unk> and we ' ve done to the <unk> of our own <unk> and we ' re going to be able to take the <unk> of the <unk>,positive
we ' ve done we ' ve heard we ' ve heard about the <unk> of our own <unk> and we ' ve done to our own <unk> and we ' ve done to our own <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and,positive,we ' ve been able to see the <unk> of the <unk> of the <unk> of the <unk> and we ' ve been able to see the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the,negative
we ' re going to get out of our own business says mr . <unk> says <eos>,positive,we ' re going to get out of our own business says mr . <unk> says <eos>,negative
we ' re going to get out of our own business says mr . <unk> says <eos>,positive,we ' re going to see the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
we ' re going to see the <unk> of the <unk> of the <unk> of our own and we ' ve done to do something about the <unk> of our own <unk> and we ' re going to be able to get the <unk> of our own <unk> and we,positive,we ' re going to see the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
she says she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she told her friends she feels she was <unk> her <unk> she,positive,she taught her <unk> her <unk> her <unk> her <unk> her story she says she <unk> her <unk> she feels she feels she feels she feels she feels she feels she feels she feels she feels she was <unk> she <unk> her <unk> she feels she was <unk> she <unk>,negative
we ' re not going to be <unk> in the <unk> of the <unk> and <unk> says mr . <unk> <eos>,negative,we ' re going to be <unk> in our <unk> and we ' re going to spend our own <unk> and <unk> <eos>,positive
