sent1,label1,sent2,label2
we ' ve heard that we ' ve heard to the <unk> of the studio and we ' ve done to our own <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk>,soc.religion.christian,we ' ve heard in the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk>,talk.politics.guns
we ' ve heard that we ' ve heard to the <unk> of the studio and we ' ve done to our own <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk>,soc.religion.christian,mr . <unk> who teaches his colleagues to his colleagues with his own <unk> mr . honecker ' s <unk> <unk> mr . <unk> says he was n't surprised he ' s <unk> birthday he told him that he had heard his own career on the <unk> of his own,talk.religion.misc
we ' ve heard that we ' ve heard to the <unk> of the studio and we ' ve done to our own <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk> our <unk> and <unk>,soc.religion.christian,we ' ve heard that we ' ve heard to the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk>,talk.politics.guns
mr . <unk> who teaches his colleagues to his colleagues with his own <unk> mr . honecker ' s <unk> <unk> mr . <unk> says he was n't surprised he ' s <unk> birthday he told him that he had heard his own career on the <unk> of his own,talk.religion.misc,mr . <unk> who teaches his colleagues to his colleagues at the <unk> of his own <unk> mr . honecker ' s role in his affidavit and mr . sutton ' s role in his affidavit to his own affidavit <eos>,talk.politics.guns
mr . <unk> who teaches his colleagues to his colleagues with his own <unk> mr . honecker ' s <unk> <unk> mr . <unk> says he was n't surprised he ' s <unk> birthday he told him that he had heard his own career on the <unk> of his own,talk.religion.misc,mr . bush is that he had been summoned to the president ' s veto and the cia ' s veto <eos>,talk.politics.guns
mr . <unk> who teaches his colleagues to his colleagues with his own <unk> mr . honecker ' s <unk> <unk> mr . <unk> says he was n't surprised he ' s <unk> birthday he told him that he had heard his own career on the <unk> of his own,talk.religion.misc,mr . bush ' s <unk> <unk> in the reagan administration and his position of his colleagues to <unk> the abortion of his colleagues <eos>,talk.politics.guns
we ' ve done we ' ve heard we ' ve heard we ' ve heard about the <unk> of our own <unk> and we ' ve done to the <unk> of our own <unk> and we ' ve done to our own <unk> and we ' ve done to,soc.religion.christian,we ' ve done we ' ve heard we ' ve heard we ' ve heard we ' ve heard about the <unk> of our own and we ' ve done to the <unk> of our own <unk> and we ' ve done to our own <unk> and we ',rec.sport.baseball
we ' ve heard we ' ve heard we ' ve heard we ' ve heard to the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,talk.politics.guns,we ' re going to be able to get out of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the,talk.politics.mideast
mr . <unk> who teaches his colleagues to his colleagues at the <unk> of his own <unk> mr . honecker ' s role in his affidavit and mr . sutton ' s role in his affidavit to his own affidavit <eos>,talk.politics.guns,mr . <unk> who teaches his own career to his own career on the <unk> of his own career and the <unk> of his own sheep to the cubans of his own constituency <eos>,rec.motorcycles
mr . <unk> who teaches his colleagues to his colleagues at the <unk> of his own <unk> mr . honecker ' s role in his affidavit and mr . sutton ' s role in his affidavit to his own affidavit <eos>,talk.politics.guns,mr . <unk> who teaches the <unk> of his colleagues to the cubans of his own career as a <unk> of his own career and the <unk> of his own sheep to the <unk> <unk> mr . honecker to be <unk> by the <unk> of his own affidavit <eos>,soc.religion.christian
mr . bush is that he had been summoned to the president ' s veto and the cia ' s veto <eos>,talk.politics.guns,we ' ve been able to see the <unk> of the <unk> and we ' ve done to the <unk> of our own business and we ' ve been able to take the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk>,soc.religion.christian
we ' ve done we ' ve heard we ' ve heard we ' ve heard we ' ve heard about the <unk> of our own and we ' ve done to the <unk> of our own <unk> and we ' ve done to our own <unk> and we ',rec.sport.baseball,we ' re going to be able to get out of the <unk> of the <unk> of the <unk> and we ' ve done to do something about the <unk> of our constituents and we ' re going to be able to get out of our constituents <eos>,talk.religion.misc
we ' ve heard we ' ve heard we ' ve heard to the <unk> of the <unk> of the <unk> and we ' ve done to the <unk> of our own <unk> and we ' ve done to our own <unk> and we ' ve done to our own,soc.religion.christian,we ' ve heard that we ' ve heard to the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the,talk.religion.misc
we ' ve heard that the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> <unk> mr . <unk> said that the,talk.politics.guns,i remembered the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of,talk.politics.mideast
